timestamp,position_x,position_y,heading_radians,heading_degrees,heading_label,steps,last_step_length_m,crossings,distance_m,filtered_accel,active_threshold,motion_magnitude,accel_x,accel_y,accel_z,user_accel_x,user_accel_y,user_accel_z,user_accel_magnitude,gyro_x,gyro_y,gyro_z,gyro_magnitude,tilt_gyro_magnitude,mag_x,mag_y,mag_z,geomagnetic_rotation_azimuth,game_rotation_azimuth,activity_recognition_granted,step_source,step_confidence,seconds_since_prev_step,heading_change_since_prev_step,heading_change_rate_since_prev_step,recent_step_interval_mean,recent_step_interval_std,filtered_to_user_accel_ratio,accel_to_gyro_ratio,phone_flat,imu_step_detected
2026-04-17T14:36:26.551227,0.000000,0.000000,0.000000,90.000,E,0,0.000000,0,0.000000,0.649957,1.199957,0.649957,-2.418144,8.528147,3.098097,-0.283503,-0.355741,-0.464240,0.649957,0.387899,-0.927904,0.500299,1.123286,1.005720,-27.768002,-14.383000,-17.594002,NaN,0.121745,true,Self-supervised model,0.133830,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.578621,false,false
2026-04-17T14:36:26.558679,0.000000,0.000000,0.004167,89.761,E,0,0.000000,0,0.000000,0.649499,1.199939,0.647094,-2.355895,8.295909,3.330335,-0.177583,-0.578680,-0.228746,0.647094,0.387899,-0.927904,0.500299,1.123286,1.005720,-27.768002,-14.383000,-17.594002,NaN,0.142579,true,Self-supervised model,0.128547,0.000000,0.000000,0.000000,0.000000,0.000000,1.003716,0.576073,false,false
2026-04-17T14:36:26.566020,0.000000,0.000000,0.010388,89.405,E,0,0.000000,0,0.000000,0.672125,1.200826,0.790914,-2.240973,8.080431,3.445256,-0.033259,-0.778776,-0.133967,0.790914,0.387899,-0.927904,0.500299,1.123286,1.005720,-27.768002,-14.383000,-17.594002,NaN,0.157018,true,Self-supervised model,0.147630,0.000000,0.000000,0.000000,0.000000,0.000000,0.849808,0.704108,false,false
2026-04-17T14:36:26.573879,0.000000,0.000000,0.017181,89.016,E,0,0.000000,0,0.000000,0.703277,1.202924,0.866821,-2.068590,7.987057,3.593697,0.144858,-0.854234,-0.026058,0.866821,0.387899,-0.927904,0.500299,1.123286,1.005720,-27.768002,-14.383000,-17.594002,NaN,0.166095,true,Self-supervised model,0.157864,0.000000,0.000000,0.000000,0.000000,0.000000,0.811329,0.771683,false,false
2026-04-17T14:36:26.582061,0.000000,0.000000,0.023102,88.676,E,0,0.000000,0,0.000000,0.737546,1.206309,0.917458,-1.970428,7.941567,3.835511,0.234300,-0.874389,0.149252,0.917458,0.387899,-0.927904,0.500299,1.123286,1.005720,-27.768002,-14.383000,-17.594002,NaN,0.168534,true,Self-supervised model,0.164261,0.000000,0.000000,0.000000,0.000000,0.000000,0.803901,0.816763,false,false
2026-04-17T14:36:26.590021,0.000000,0.000000,0.027251,88.439,E,0,0.000000,0,0.000000,0.797132,1.211942,1.109963,-1.874660,7.812280,4.264073,0.308736,-0.960245,0.463283,1.109963,-0.536951,-0.872316,0.437380,1.113800,1.024329,-27.768002,-14.383000,-17.594002,NaN,0.165591,true,Self-supervised model,0.195097,0.000000,0.000000,0.000000,0.000000,0.000000,0.718161,0.996555,false,false
2026-04-17T14:36:26.598121,0.000000,0.000000,0.028491,88.368,E,0,0.000000,0,0.000000,0.896712,1.221333,1.419505,-1.742979,7.592013,4.747702,0.404477,-1.115100,0.779708,1.419505,-0.477086,-0.711047,0.417832,0.952776,0.856270,-27.768002,-14.383000,-17.594002,NaN,0.155195,true,Self-supervised model,0.242047,0.000000,0.000000,0.000000,0.000000,0.000000,0.631708,1.489862,false,false
2026-04-17T14:36:26.606077,0.000000,0.000000,0.025625,88.532,E,0,0.000000,0,0.000000,1.013865,1.235034,1.628915,-1.635240,7.390901,5.123591,0.466515,-1.233682,0.955907,1.628915,-0.368963,-0.594372,0.400728,0.806222,0.699579,-27.768002,-14.383000,-17.594002,NaN,0.135905,true,Self-supervised model,0.262752,0.000000,0.000000,0.000000,0.000000,0.000000,0.622417,2.020430,false,false
2026-04-17T14:36:26.614178,0.000000,0.000000,0.018723,88.927,E,0,0.000000,0,0.000000,1.132070,1.252915,1.752649,-1.470040,7.307104,5.513846,0.565984,-1.221558,1.122156,1.752649,-0.248622,-0.569326,0.374460,0.725373,0.621245,-27.768002,-14.383000,-17.594002,NaN,0.112860,true,Self-supervised model,0.270967,0.000000,0.000000,0.000000,0.000000,0.000000,0.645920,2.416203,false,false
2026-04-17T14:36:26.622587,0.000000,0.000000,0.007866,89.549,E,0,0.000000,0,0.000000,1.208268,1.273130,1.608306,-1.448492,7.417237,5.736507,0.520699,-1.015172,1.133555,1.608306,-0.086132,-0.563218,0.333532,0.660210,0.569766,-27.768002,-14.383000,-17.594002,NaN,0.086182,true,Self-supervised model,0.239443,0.000000,0.000000,0.000000,0.000000,0.000000,0.751267,2.436054,false,false
2026-04-17T14:36:26.631053,0.000000,0.000000,-0.005527,90.317,E,0,0.000000,0,0.000000,1.236140,1.293650,1.382471,-1.539472,7.582437,5.882554,0.376800,-0.757818,1.093143,1.382471,0.096517,-0.552222,0.282220,0.627625,0.560593,-27.768002,-14.383000,-17.594002,NaN,0.062649,true,Self-supervised model,0.195287,0.000000,0.000000,0.000000,0.000000,0.000000,0.894153,2.202704,false,false
